PassengerId,Survived
100000,0
100001,1
100002,1
100003,1
100004,1
100005,0
100006,1
100007,1
100008,1
100009,0
100010,1
100011,0
100012,0
100013,0
100014,1
100015,1
100016,1
100017,1
100018,1
100019,1
100020,0
100021,0
100022,0
100023,1
100024,1
100025,1
100026,1
100027,1
100028,0
100029,1
100030,1
100031,0
100032,1
100033,0
100034,1
100035,0
100036,0
100037,0
100038,1
100039,0
100040,0
100041,1
100042,1
100043,1
100044,1
100045,1
100046,1
100047,0
100048,1
100049,1
100050,0
100051,1
100052,0
100053,1
100054,0
100055,1
100056,1
100057,1
100058,1
100059,1
100060,0
100061,0
100062,0
100063,1
100064,0
100065,0
100066,0
100067,0
100068,1
100069,1
100070,0
100071,1
100072,1
100073,0
100074,1
100075,0
100076,1
100077,0
100078,1
100079,1
100080,1
100081,1
100082,0
100083,1
100084,1
100085,1
100086,1
100087,1
100088,1
100089,0
100090,1
100091,0
100092,0
100093,0
100094,0
100095,0
100096,1
100097,0
100098,1
100099,1
100100,1
100101,1
100102,0
100103,0
100104,1
100105,0
100106,1
100107,1
100108,1
100109,1
100110,1
100111,1
100112,1
100113,1
100114,1
100115,1
100116,1
100117,1
100118,1
100119,1
100120,0
100121,0
100122,1
100123,1
100124,1
100125,1
100126,1
100127,1
100128,1
100129,1
100130,0
100131,1
100132,0
100133,1
100134,1
100135,1
100136,1
100137,1
100138,1
100139,0
100140,1
100141,1
100142,0
100143,1
100144,1
100145,0
100146,1
100147,1
100148,1
100149,1
100150,1
100151,0
100152,1
100153,0
100154,1
100155,0
100156,1
100157,1
100158,1
100159,1
100160,0
100161,1
100162,1
100163,1
100164,1
100165,0
100166,1
100167,0
100168,1
100169,0
100170,1
100171,1
100172,1
100173,1
100174,1
100175,1
100176,1
100177,1
100178,1
100179,1
100180,1
100181,1
100182,1
100183,1
100184,1
100185,1
100186,1
100187,0
100188,1
100189,1
100190,1
100191,0
100192,1
100193,0
100194,1
100195,1
100196,1
100197,1
100198,1
100199,1
100200,1
100201,1
100202,1
100203,1
100204,0
100205,1
100206,1
100207,1
100208,0
100209,1
100210,1
100211,1
100212,1
100213,1
100214,0
100215,1
100216,0
100217,1
100218,1
100219,1
100220,1
100221,1
100222,0
100223,0
100224,1
100225,1
100226,1
100227,0
100228,1
100229,1
100230,1
100231,0
100232,1
100233,1
100234,0
100235,1
100236,1
100237,1
100238,1
100239,0
100240,0
100241,1
100242,0
100243,1
100244,0
100245,0
100246,1
100247,1
100248,1
100249,1
100250,1
100251,1
100252,1
100253,0
100254,1
100255,1
100256,0
100257,1
100258,1
100259,1
100260,0
100261,1
100262,1
100263,1
100264,1
100265,1
100266,1
100267,1
100268,1
100269,1
100270,1
100271,1
100272,1
100273,1
100274,0
100275,0
100276,1
100277,1
100278,1
100279,1
100280,1
100281,0
100282,1
100283,0
100284,1
100285,1
100286,1
100287,0
100288,0
100289,0
100290,1
100291,0
100292,1
100293,1
100294,0
100295,1
100296,1
100297,1
100298,0
100299,1
100300,0
100301,1
100302,0
100303,1
100304,0
100305,0
100306,1
100307,1
100308,1
100309,0
100310,1
100311,0
100312,1
100313,1
100314,1
100315,1
100316,1
100317,1
100318,0
